review_id,listing_id,user_id,review_text
R00022,L0005,U0104,One of the best Airbnbs we have stayed at. The location near Fullerton L made getting around so easy.
R00023,L0005,U0074,The TV was great but the bathroom could use some work. Neighborhood is lively which is a plus and a minus.
R00024,L0005,U0074,Loved this place! The neighborhood (Lakeview) was vibrant and walkable. TV made the stay so comfortable.
R00025,L0005,U0104,The TV was great but the bathroom could use some work. Neighborhood is lively which is a plus and a minus.
R00026,L0005,U0104,This was our second time booking this place and it was just as great. Love the Lakeview area.
R00027,L0006,U0060,Had issues with cleanliness. Found the kitchen poorly stocked and the Carbon monoxide alarm was not working properly.
R00028,L0006,U0163,This was our second time booking this place and it was just as great. Love the Wicker Park area.
R00029,L0006,U0163,Good location near Roosevelt L but the apartment was smaller than expected. The Carbon monoxide alarm was nice though.
R00030,L0006,U0163,Pretty good overall. Close to Roosevelt L which was essential. Would have liked more kitchen supplies.
R00031,L0007,U0224,Decent stay overall. Harlem is a great area but the listing could use some updating. Still decent value.
R00032,L0007,U0224,Disappointing stay. The listing photos made it look much bigger than it actually is. Far from Central Park.
R00033,L0007,U0224,Good location near Columbus Circle but the apartment was smaller than expected. The Kitchen was nice though.
R00034,L0007,U0224,The neighborhood (Harlem) did not feel safe at night. Would not recommend for families.
R00035,L0007,U0224,Loved this place! The neighborhood (Harlem) was vibrant and walkable. Kitchen made the stay so comfortable.
R00036,L0007,U0224,Pretty good overall. Close to Columbus Circle which was essential. Would have liked more kitchen supplies.
R00037,L0007,U0224,One of the best Airbnbs we have stayed at. The location near Columbus Circle made getting around so easy.
R00038,L0008,U0097,Amazing stay! We could walk to Fenway Park in under 15 minutes. The apartment had everything we needed.
R00039,L0008,U0200,Perfect for our group trip. Close to Fenway Park and the host was incredibly responsive. Highly recommend.
R00040,L0008,U0200,Decent stay overall. Fenway-Kenmore is a great area but the listing could use some updating. Still decent value.
R00041,L0008,U0200,Stayed here for a week and loved every minute. Fenway-Kenmore has so much character. Great coffee shops nearby.
R00042,L0008,U0195,"Noisy, cramped, and overpriced. I expected much better based on the reviews. Would not book again."
R00043,L0008,U0097,Fine for a short stay. The Air conditioning worked well but the street noise at night was noticeable.
R00044,L0008,U0195,Fantastic place for a group getaway. The Air conditioning was a highlight and the neighborhood felt very safe.
R00045,L0008,U0195,Decent stay overall. Fenway-Kenmore is a great area but the listing could use some updating. Still decent value.
R00046,L0009,U0189,"Exactly as described. Clean, spacious, and the Dryer was a nice touch. Great value for San Francisco."
R00047,L0009,U0215,The space was immaculate and the location is unbeatable. Easy access to Fisherman's Wharf and great local dining.
R00048,L0009,U0189,Spacious and well-maintained. Walking distance to Van Ness Muni and several great restaurants. Highly recommend for anyone visiting San Francisco.
R00049,L0009,U0215,The Dryer was great but the bathroom could use some work. Neighborhood is lively which is a plus and a minus.
R00050,L0009,U0215,Amazing stay! We could walk to Fisherman's Wharf in under 15 minutes. The apartment had everything we needed.
R00051,L0009,U0215,Decent stay overall. Pacific Heights is a great area but the listing could use some updating. Still decent value.
R00052,L0009,U0215,Couldn't have asked for a better stay. The Dryer was perfect and Fisherman's Wharf was right around the corner.
R00053,L0010,U0222,Beautiful apartment in a great part of San Francisco. The host thought of everything. Five stars all around.
R00054,L0010,U0133,This was our second time booking this place and it was just as great. Love the Sunset District area.
R00055,L0010,U0168,Loved this place! The neighborhood (Sunset District) was vibrant and walkable. Free parking made the stay so comfortable.
R00056,L0011,U0092,Perfect for our leisure trip. Close to Chicago Riverwalk and the host was incredibly responsive. Highly recommend.
R00057,L0011,U0092,One of the best Airbnbs we have stayed at. The location near Jackson L made getting around so easy.
R00058,L0011,U0083,Host was unresponsive when we had an issue with the lock. Took over 4 hours to resolve. Frustrating experience.
R00059,L0011,U0092,"Wonderful host, beautiful space in Loop. Loved having Hot tub available. Will be back!"
R00060,L0011,U0092,Amazing stay! We could walk to Chicago Riverwalk in under 15 minutes. The apartment had everything we needed.
R00061,L0011,U0083,Solid place to stay for the price. Getting to Chicago Riverwalk took longer than expected but otherwise no complaints.
R00062,L0012,U0086,"Exactly as described. Clean, spacious, and the Heating was a nice touch. Great value for Chicago."
R00063,L0012,U0006,The place was clean and functional. Not as close to Navy Pier as I expected but transit was accessible.
R00064,L0012,U0078,This was our second time booking this place and it was just as great. Love the Pilsen area.
R00065,L0012,U0078,"Wonderful host, beautiful space in Pilsen. Loved having Heating available. Will be back!"
R00066,L0012,U0086,Loved this place! The neighborhood (Pilsen) was vibrant and walkable. Heating made the stay so comfortable.
R00067,L0013,U0129,"Exactly as described. Clean, spacious, and the Free parking was a nice touch. Great value for New York."
R00068,L0013,U0186,"Exactly as described. Clean, spacious, and the Free parking was a nice touch. Great value for New York."
R00069,L0014,U0084,The listing description was misleading. Said walking distance to Wynwood Walls but it was over 30 minutes on foot.
R00070,L0014,U0084,One of the best Airbnbs we have stayed at. The location near Douglas Road Metrorail made getting around so easy.
R00071,L0014,U0147,Pretty good overall. Close to Douglas Road Metrorail which was essential. Would have liked more kitchen supplies.
R00072,L0015,U0025,Couldn't have asked for a better stay. The Dishwasher was perfect and Boston Common was right around the corner.
R00073,L0015,U0210,Spacious and well-maintained. Walking distance to South Station and several great restaurants. Highly recommend for anyone visiting Boston.
R00074,L0015,U0189,Super cozy place with all the amenities you could want. Seaport is such a fun area to explore.
R00075,L0015,U0210,Spacious and well-maintained. Walking distance to South Station and several great restaurants. Highly recommend for anyone visiting Boston.
R00076,L0016,U0146,Loved this place! The neighborhood (South End) was vibrant and walkable. Patio made the stay so comfortable.
R00077,L0016,U0067,The place was clean and functional. Not as close to Faneuil Hall as I expected but transit was accessible.
R00078,L0016,U0172,Spacious and well-maintained. Walking distance to Copley and several great restaurants. Highly recommend for anyone visiting Boston.
R00079,L0016,U0123,Amazing stay! We could walk to Faneuil Hall in under 15 minutes. The apartment had everything we needed.
R00080,L0016,U0124,Amazing stay! We could walk to Faneuil Hall in under 15 minutes. The apartment had everything we needed.
R00081,L0017,U0104,Amazing stay! We could walk to Museum of Science and Industry in under 15 minutes. The apartment had everything we needed.
R00082,L0017,U0023,Beautiful apartment in a great part of Chicago. The host thought of everything. Five stars all around.
R00083,L0018,U0103,Amazing stay! We could walk to Perez Art Museum in under 15 minutes. The apartment had everything we needed.
R00084,L0018,U0084,Beautiful apartment in a great part of Miami. The host thought of everything. Five stars all around.
R00085,L0018,U0161,Loved this place! The neighborhood (Design District) was vibrant and walkable. Workspace made the stay so comfortable.
R00086,L0018,U0103,Fantastic place for a family getaway. The Workspace was a highlight and the neighborhood felt very safe.
R00087,L0019,U0216,One of the best Airbnbs we have stayed at. The location near 14th St-Union Sq made getting around so easy.
R00088,L0019,U0024,"Great location, just 8 minutes from 14th St-Union Sq. The Pet friendly was a huge plus. Would definitely stay here again!"
R00089,L0019,U0192,"Great location, just 8 minutes from 14th St-Union Sq. The Pet friendly was a huge plus. Would definitely stay here again!"
R00090,L0019,U0078,Spacious and well-maintained. Walking distance to 14th St-Union Sq and several great restaurants. Highly recommend for anyone visiting New York.
R00091,L0019,U0154,Amazing stay! We could walk to Statue of Liberty Ferry in under 15 minutes. The apartment had everything we needed.
R00092,L0019,U0190,"Wonderful host, beautiful space in Chelsea. Loved having Pet friendly available. Will be back!"
R00093,L0019,U0209,Location is convenient but the apartment felt a bit dated. Chelsea has great restaurants though which made up for it.
R00094,L0020,U0174,Decent stay overall. Lincoln Park is a great area but the listing could use some updating. Still decent value.
R00095,L0020,U0241,Good location near Grand L (Red) but the apartment was smaller than expected. The Workspace was nice though.
R00096,L0020,U0082,Beautiful apartment in a great part of Chicago. The host thought of everything. Five stars all around.
R00097,L0020,U0150,Beautiful apartment in a great part of Chicago. The host thought of everything. Five stars all around.
R00098,L0020,U0241,One of the best Airbnbs we have stayed at. The location near Grand L (Red) made getting around so easy.
R00099,L0020,U0150,The Workspace was great but the bathroom could use some work. Neighborhood is lively which is a plus and a minus.
R00100,L0021,U0059,Perfect for our business trip. Close to Statue of Liberty Ferry and the host was incredibly responsive. Highly recommend.
R00101,L0021,U0068,Had issues with cleanliness. Found the kitchen poorly stocked and the Heating was not working properly.
R00102,L0021,U0004,The Heating was great but the bathroom could use some work. Neighborhood is lively which is a plus and a minus.
R00103,L0022,U0188,Amazing stay! We could walk to Perez Art Museum in under 15 minutes. The apartment had everything we needed.
R00104,L0022,U0205,The neighborhood (Brickell) did not feel safe at night. Would not recommend for families.
R00105,L0022,U0080,Super cozy place with all the amenities you could want. Brickell is such a fun area to explore.
R00106,L0023,U0108,"Great location, just 9 minutes from Belmont L. The Smoke alarm was a huge plus. Would definitely stay here again!"
R00107,L0023,U0108,One of the best Airbnbs we have stayed at. The location near Belmont L made getting around so easy.
R00108,L0023,U0015,The space was immaculate and the location is unbeatable. Easy access to Field Museum and great local dining.
R00109,L0023,U0108,"Great location, just 9 minutes from Belmont L. The Smoke alarm was a huge plus. Would definitely stay here again!"
R00110,L0023,U0159,This was our second time booking this place and it was just as great. Love the River North area.
R00111,L0023,U0159,Couldn't have asked for a better stay. The Smoke alarm was perfect and Field Museum was right around the corner.
R00112,L0024,U0121,Perfect for our business trip. Close to Alcatraz Island Ferry and the host was incredibly responsive. Highly recommend.
R00113,L0024,U0121,Stayed here for a week and loved every minute. Pacific Heights has so much character. Great coffee shops nearby.
R00114,L0024,U0243,Pretty good overall. Close to Powell St BART which was essential. Would have liked more kitchen supplies.
R00115,L0024,U0121,Pretty good overall. Close to Powell St BART which was essential. Would have liked more kitchen supplies.
R00116,L0024,U0243,The space was immaculate and the location is unbeatable. Easy access to Alcatraz Island Ferry and great local dining.
R00117,L0024,U0243,The place was clean and functional. Not as close to Alcatraz Island Ferry as I expected but transit was accessible.
R00118,L0025,U0151,"Great location, just 19 minutes from Fullerton L. The Air conditioning was a huge plus. Would definitely stay here again!"
R00119,L0025,U0151,Location is convenient but the apartment felt a bit dated. Lakeview has great restaurants though which made up for it.
R00120,L0025,U0151,Spacious and well-maintained. Walking distance to Fullerton L and several great restaurants. Highly recommend for anyone visiting Chicago.
R00121,L0025,U0151,Solid place to stay for the price. Getting to Wrigley Field took longer than expected but otherwise no complaints.
R00122,L0025,U0151,Amazing stay! We could walk to Wrigley Field in under 15 minutes. The apartment had everything we needed.
R00123,L0026,U0202,Stayed here for a week and loved every minute. Coconut Grove has so much character. Great coffee shops nearby.
R00124,L0026,U0248,"Wonderful host, beautiful space in Coconut Grove. Loved having Free parking available. Will be back!"
R00125,L0026,U0248,Nice host and good communication. The space itself was okay but not extraordinary for the price in Miami.
R00126,L0027,U0123,Amazing stay! We could walk to Wrigley Field in under 15 minutes. The apartment had everything we needed.
R00127,L0027,U0123,Perfect for our leisure trip. Close to Wrigley Field and the host was incredibly responsive. Highly recommend.
R00128,L0027,U0123,"Great location, just 16 minutes from Jackson L. The Fire extinguisher was a huge plus. Would definitely stay here again!"
R00129,L0028,U0194,Super cozy place with all the amenities you could want. Old Town is such a fun area to explore.
R00130,L0028,U0144,Nice host and good communication. The space itself was okay but not extraordinary for the price in Chicago.
R00131,L0028,U0203,Fine for a short stay. The Dryer worked well but the street noise at night was noticeable.
R00132,L0028,U0244,Spacious and well-maintained. Walking distance to Merchandise Mart L and several great restaurants. Highly recommend for anyone visiting Chicago.
R00133,L0029,U0192,"Wonderful host, beautiful space in Edgewater. Loved having Kitchen available. Will be back!"
R00134,L0029,U0192,"Wonderful host, beautiful space in Edgewater. Loved having Kitchen available. Will be back!"
R00135,L0030,U0035,Loved this place! The neighborhood (River North) was vibrant and walkable. Workspace made the stay so comfortable.
R00136,L0030,U0035,The space was immaculate and the location is unbeatable. Easy access to Magnificent Mile and great local dining.
R00137,L0030,U0035,The neighborhood (River North) did not feel safe at night. Would not recommend for families.
R00138,L0030,U0035,This was our second time booking this place and it was just as great. Love the River North area.
R00139,L0030,U0035,Super cozy place with all the amenities you could want. River North is such a fun area to explore.
R00140,L0031,U0125,Super cozy place with all the amenities you could want. Nob Hill is such a fun area to explore.
R00141,L0031,U0093,"Exactly as described. Clean, spacious, and the Smoke alarm was a nice touch. Great value for San Francisco."
R00142,L0031,U0019,Solid place to stay for the price. Getting to Chinatown took longer than expected but otherwise no complaints.
R00143,L0031,U0080,The space was immaculate and the location is unbeatable. Easy access to Chinatown and great local dining.
R00144,L0032,U0204,Beautiful apartment in a great part of New York. The host thought of everything. Five stars all around.
R00145,L0032,U0248,Fantastic place for a romantic getaway. The Coffee maker was a highlight and the neighborhood felt very safe.
R00146,L0032,U0248,Couldn't have asked for a better stay. The Coffee maker was perfect and Times Square was right around the corner.
R00147,L0032,U0023,Amazing stay! We could walk to Times Square in under 15 minutes. The apartment had everything we needed.
R00148,L0033,U0210,Beautiful apartment in a great part of Boston. The host thought of everything. Five stars all around.
R00149,L0033,U0023,The space was immaculate and the location is unbeatable. Easy access to Harvard Yard and great local dining.
R00150,L0033,U0220,Not worth the price for Boston. The WiFi was broken and it took days to get a response from the host.
R00151,L0033,U0167,Disappointing stay. The listing photos made it look much bigger than it actually is. Far from Harvard Yard.
R00152,L0033,U0210,"Exactly as described. Clean, spacious, and the WiFi was a nice touch. Great value for Boston."
R00153,L0033,U0210,Amazing stay! We could walk to Harvard Yard in under 15 minutes. The apartment had everything we needed.
R00154,L0033,U0220,"Noisy, cramped, and overpriced. I expected much better based on the reviews. Would not book again."
R00155,L0034,U0217,Beautiful apartment in a great part of Miami. The host thought of everything. Five stars all around.
R00156,L0034,U0160,Nice host and good communication. The space itself was okay but not extraordinary for the price in Miami.
R00157,L0034,U0217,Decent stay overall. Midtown is a great area but the listing could use some updating. Still decent value.
R00158,L0034,U0217,Host was unresponsive when we had an issue with the lock. Took over 4 hours to resolve. Frustrating experience.
R00159,L0035,U0080,Good location near Canal St but the apartment was smaller than expected. The Kitchen was nice though.
R00160,L0035,U0147,Average Airbnb experience. Clean and safe area in Harlem. Nothing special but nothing bad either.
R00161,L0035,U0232,Had issues with cleanliness. Found the kitchen poorly stocked and the Kitchen was not working properly.
R00162,L0035,U0170,Couldn't have asked for a better stay. The Kitchen was perfect and High Line was right around the corner.
R00163,L0035,U0117,Host was unresponsive when we had an issue with the lock. Took over 4 hours to resolve. Frustrating experience.
R00164,L0035,U0098,Beautiful apartment in a great part of New York. The host thought of everything. Five stars all around.
R00165,L0036,U0226,"Great location, just 8 minutes from Union Square. The Coffee maker was a huge plus. Would definitely stay here again!"
R00166,L0036,U0240,The space was immaculate and the location is unbeatable. Easy access to Rockefeller Center and great local dining.
R00167,L0036,U0240,The Coffee maker was great but the bathroom could use some work. Neighborhood is lively which is a plus and a minus.
R00168,L0036,U0240,"Exactly as described. Clean, spacious, and the Coffee maker was a nice touch. Great value for New York."
R00169,L0037,U0119,Beautiful apartment in a great part of Miami. The host thought of everything. Five stars all around.
R00170,L0037,U0036,"Noisy, cramped, and overpriced. I expected much better based on the reviews. Would not book again."
R00171,L0037,U0188,Super cozy place with all the amenities you could want. Edgewater is such a fun area to explore.
R00172,L0037,U0036,The space was immaculate and the location is unbeatable. Easy access to Wynwood Walls and great local dining.
R00173,L0037,U0119,Spacious and well-maintained. Walking distance to Adrienne Arsht Metromover and several great restaurants. Highly recommend for anyone visiting Miami.
R00174,L0038,U0217,The listing description was misleading. Said walking distance to Harvard Yard but it was over 30 minutes on foot.
R00175,L0038,U0090,Spacious and well-maintained. Walking distance to Copley and several great restaurants. Highly recommend for anyone visiting Boston.
R00176,L0038,U0090,Beautiful apartment in a great part of Boston. The host thought of everything. Five stars all around.
R00177,L0039,U0047,The space was immaculate and the location is unbeatable. Easy access to Brooklyn Bridge and great local dining.
R00178,L0039,U0002,Solid place to stay for the price. Getting to Brooklyn Bridge took longer than expected but otherwise no complaints.
R00179,L0039,U0109,Average Airbnb experience. Clean and safe area in SoHo. Nothing special but nothing bad either.
R00180,L0039,U0131,One of the best Airbnbs we have stayed at. The location near Union Square made getting around so easy.
R00181,L0039,U0223,Couldn't have asked for a better stay. The Crib was perfect and Brooklyn Bridge was right around the corner.
R00182,L0040,U0035,Stayed here for a week and loved every minute. Mission District has so much character. Great coffee shops nearby.
R00183,L0040,U0203,Super cozy place with all the amenities you could want. Mission District is such a fun area to explore.
R00184,L0040,U0035,Host was unresponsive when we had an issue with the lock. Took over 4 hours to resolve. Frustrating experience.
R00185,L0040,U0035,Average Airbnb experience. Clean and safe area in Mission District. Nothing special but nothing bad either.
R00186,L0041,U0046,Solid place to stay for the price. Getting to Bayside Marketplace took longer than expected but otherwise no complaints.
R00187,L0041,U0153,Super cozy place with all the amenities you could want. Wynwood is such a fun area to explore.
R00188,L0041,U0153,"Exactly as described. Clean, spacious, and the Pet friendly was a nice touch. Great value for Miami."
R00189,L0041,U0046,Fantastic place for a business getaway. The Pet friendly was a highlight and the neighborhood felt very safe.
R00190,L0041,U0046,Stayed here for a week and loved every minute. Wynwood has so much character. Great coffee shops nearby.
R00191,L0041,U0046,The space was immaculate and the location is unbeatable. Easy access to Bayside Marketplace and great local dining.
R00192,L0041,U0046,Pretty good overall. Close to Wynwood Trolley Stop which was essential. Would have liked more kitchen supplies.
R00193,L0042,U0233,Beautiful apartment in a great part of San Francisco. The host thought of everything. Five stars all around.
R00194,L0042,U0233,Not worth the price for San Francisco. The Dishwasher was broken and it took days to get a response from the host.
R00195,L0042,U0233,Spacious and well-maintained. Walking distance to Powell St BART and several great restaurants. Highly recommend for anyone visiting San Francisco.
R00196,L0042,U0233,Super cozy place with all the amenities you could want. SOMA is such a fun area to explore.
R00197,L0043,U0126,"Great location, just 23 minutes from Jackson L. The Carbon monoxide alarm was a huge plus. Would definitely stay here again!"
R00198,L0043,U0126,Super cozy place with all the amenities you could want. Lakeview is such a fun area to explore.
R00199,L0043,U0126,"Great location, just 23 minutes from Jackson L. The Carbon monoxide alarm was a huge plus. Would definitely stay here again!"
R00200,L0043,U0126,This was our second time booking this place and it was just as great. Love the Lakeview area.
R00201,L0043,U0126,"Exactly as described. Clean, spacious, and the Carbon monoxide alarm was a nice touch. Great value for Chicago."
R00202,L0043,U0126,"Great location, just 23 minutes from Jackson L. The Carbon monoxide alarm was a huge plus. Would definitely stay here again!"
R00203,L0044,U0087,Good location near North Station but the apartment was smaller than expected. The Hot tub was nice though.
R00204,L0044,U0085,"Wonderful host, beautiful space in Allston. Loved having Hot tub available. Will be back!"
R00205,L0044,U0245,"Exactly as described. Clean, spacious, and the Hot tub was a nice touch. Great value for Boston."
R00206,L0044,U0087,Stayed here for a week and loved every minute. Allston has so much character. Great coffee shops nearby.
R00207,L0045,U0111,The neighborhood (Midtown) did not feel safe at night. Would not recommend for families.
R00208,L0045,U0105,"Noisy, cramped, and overpriced. I expected much better based on the reviews. Would not book again."
R00209,L0045,U0105,"Noisy, cramped, and overpriced. I expected much better based on the reviews. Would not book again."
R00210,L0046,U0193,The space was immaculate and the location is unbeatable. Easy access to Chelsea Market and great local dining.
R00211,L0046,U0094,"Great location, just 8 minutes from Grand Central. The Hair dryer was a huge plus. Would definitely stay here again!"
R00212,L0046,U0096,Fine for a short stay. The Hair dryer worked well but the street noise at night was noticeable.
R00213,L0046,U0194,Nice host and good communication. The space itself was okay but not extraordinary for the price in New York.
R00214,L0047,U0158,The place was clean and functional. Not as close to Rockefeller Center as I expected but transit was accessible.
R00215,L0047,U0239,"Exactly as described. Clean, spacious, and the Pool was a nice touch. Great value for New York."
R00216,L0047,U0158,Beautiful apartment in a great part of New York. The host thought of everything. Five stars all around.
R00217,L0048,U0217,The listing description was misleading. Said walking distance to Oracle Park but it was over 30 minutes on foot.
R00218,L0048,U0217,Amazing stay! We could walk to Oracle Park in under 15 minutes. The apartment had everything we needed.
R00219,L0048,U0217,Good location near 16th St Mission BART but the apartment was smaller than expected. The Air conditioning was nice though.
R00220,L0048,U0217,Fantastic place for a business getaway. The Air conditioning was a highlight and the neighborhood felt very safe.
R00221,L0048,U0217,Fine for a short stay. The Air conditioning worked well but the street noise at night was noticeable.
R00222,L0048,U0217,"Wonderful host, beautiful space in Haight-Ashbury. Loved having Air conditioning available. Will be back!"
R00223,L0048,U0217,Average Airbnb experience. Clean and safe area in Haight-Ashbury. Nothing special but nothing bad either.
R00224,L0049,U0024,Spacious and well-maintained. Walking distance to Dadeland South Metrorail and several great restaurants. Highly recommend for anyone visiting Miami.
R00225,L0049,U0245,Super cozy place with all the amenities you could want. Edgewater is such a fun area to explore.
R00226,L0049,U0245,Fantastic place for a leisure getaway. The Coffee maker was a highlight and the neighborhood felt very safe.
R00227,L0049,U0024,One of the best Airbnbs we have stayed at. The location near Dadeland South Metrorail made getting around so easy.
R00228,L0049,U0245,"Noisy, cramped, and overpriced. I expected much better based on the reviews. Would not book again."
R00229,L0049,U0245,The Coffee maker was great but the bathroom could use some work. Neighborhood is lively which is a plus and a minus.
R00230,L0049,U0245,"Exactly as described. Clean, spacious, and the Coffee maker was a nice touch. Great value for Miami."
R00231,L0050,U0102,Loved this place! The neighborhood (Lower East Side) was vibrant and walkable. TV made the stay so comfortable.
R00232,L0050,U0102,Stayed here for a week and loved every minute. Lower East Side has so much character. Great coffee shops nearby.
R00233,L0050,U0102,Spacious and well-maintained. Walking distance to Jay St-MetroTech and several great restaurants. Highly recommend for anyone visiting New York.
R00234,L0050,U0102,Super cozy place with all the amenities you could want. Lower East Side is such a fun area to explore.
R00235,L0050,U0102,Good location near Jay St-MetroTech but the apartment was smaller than expected. The TV was nice though.
R00236,L0050,U0102,The space was immaculate and the location is unbeatable. Easy access to Museum of Modern Art and great local dining.
R00237,L0050,U0102,Perfect for our business trip. Close to Museum of Modern Art and the host was incredibly responsive. Highly recommend.
R00238,L0051,U0151,One of the best Airbnbs we have stayed at. The location near Haymarket made getting around so easy.
R00239,L0051,U0151,Loved this place! The neighborhood (Beacon Hill) was vibrant and walkable. Smoke alarm made the stay so comfortable.
R00240,L0051,U0151,Too far from public transit. The walk to Haymarket was much longer than the listing claimed.
R00241,L0051,U0151,Solid place to stay for the price. Getting to Museum of Fine Arts took longer than expected but otherwise no complaints.
R00242,L0051,U0151,Average Airbnb experience. Clean and safe area in Beacon Hill. Nothing special but nothing bad either.
R00243,L0051,U0151,Super cozy place with all the amenities you could want. Beacon Hill is such a fun area to explore.
R00244,L0051,U0151,Beautiful apartment in a great part of Boston. The host thought of everything. Five stars all around.
R00245,L0052,U0109,One of the best Airbnbs we have stayed at. The location near Castro Muni made getting around so easy.
R00246,L0052,U0109,"Wonderful host, beautiful space in Nob Hill. Loved having Washer available. Will be back!"
R00247,L0052,U0066,"Great location, just 20 minutes from Castro Muni. The Washer was a huge plus. Would definitely stay here again!"
R00248,L0052,U0057,The space was immaculate and the location is unbeatable. Easy access to Golden Gate Park and great local dining.
R00249,L0052,U0066,The space was immaculate and the location is unbeatable. Easy access to Golden Gate Park and great local dining.
R00250,L0052,U0057,Location is convenient but the apartment felt a bit dated. Nob Hill has great restaurants though which made up for it.
R00251,L0052,U0066,Solid place to stay for the price. Getting to Golden Gate Park took longer than expected but otherwise no complaints.
R00252,L0053,U0237,Fine for a short stay. The Heating worked well but the street noise at night was noticeable.
R00253,L0053,U0237,This was our second time booking this place and it was just as great. Love the Mission District area.
R00254,L0054,U0002,Couldn't have asked for a better stay. The TV was perfect and Pier 39 was right around the corner.
R00255,L0054,U0002,One of the best Airbnbs we have stayed at. The location near 24th St Mission BART made getting around so easy.
R00256,L0054,U0215,This was our second time booking this place and it was just as great. Love the Pacific Heights area.
R00257,L0054,U0002,Amazing stay! We could walk to Pier 39 in under 15 minutes. The apartment had everything we needed.
R00258,L0054,U0097,Super cozy place with all the amenities you could want. Pacific Heights is such a fun area to explore.
R00259,L0054,U0097,Beautiful apartment in a great part of San Francisco. The host thought of everything. Five stars all around.
R00260,L0055,U0250,Fantastic place for a leisure getaway. The Iron was a highlight and the neighborhood felt very safe.
R00261,L0055,U0059,Solid place to stay for the price. Getting to Vizcaya Museum took longer than expected but otherwise no complaints.
R00262,L0055,U0185,Loved this place! The neighborhood (South Beach) was vibrant and walkable. Iron made the stay so comfortable.
R00263,L0055,U0059,Couldn't have asked for a better stay. The Iron was perfect and Vizcaya Museum was right around the corner.
R00264,L0055,U0059,Pretty good overall. Close to Douglas Road Metrorail which was essential. Would have liked more kitchen supplies.
R00265,L0055,U0095,"Noisy, cramped, and overpriced. I expected much better based on the reviews. Would not book again."
R00266,L0055,U0059,Spacious and well-maintained. Walking distance to Douglas Road Metrorail and several great restaurants. Highly recommend for anyone visiting Miami.
R00267,L0056,U0132,Perfect for our group trip. Close to Rockefeller Center and the host was incredibly responsive. Highly recommend.
R00268,L0056,U0033,Stayed here for a week and loved every minute. Harlem has so much character. Great coffee shops nearby.
R00269,L0056,U0033,Fantastic place for a group getaway. The Smoke alarm was a highlight and the neighborhood felt very safe.
R00270,L0057,U0202,Decent stay overall. Chelsea is a great area but the listing could use some updating. Still decent value.
R00271,L0057,U0071,Fantastic place for a romantic getaway. The Gym access was a highlight and the neighborhood felt very safe.
R00272,L0057,U0148,Average Airbnb experience. Clean and safe area in Chelsea. Nothing special but nothing bad either.
R00273,L0057,U0175,One of the best Airbnbs we have stayed at. The location near 14th St-Union Sq made getting around so easy.
R00274,L0057,U0148,"Great location, just 14 minutes from 14th St-Union Sq. The Gym access was a huge plus. Would definitely stay here again!"
R00275,L0058,U0104,Had issues with cleanliness. Found the kitchen poorly stocked and the EV charger was not working properly.
R00276,L0058,U0107,The neighborhood (Seaport) did not feel safe at night. Would not recommend for families.
R00277,L0058,U0107,Spacious and well-maintained. Walking distance to Harvard and several great restaurants. Highly recommend for anyone visiting Boston.
