listing_id,city,neighborhood,property_type,bedrooms,bathrooms,max_guests,price_per_night,amenities,host_rating,superhost,instant_book,min_nights,nearest_transit,transit_walk_min,nearby_attraction_1,nearby_attraction_2
L0020,Chicago,Lincoln Park,Entire home,1,1.0,2,151,Free parking; WiFi; Gym access; Washer; Pool; Patio; Workspace; Heating,4.07,0,1,7,Grand L (Red),24,Chicago Riverwalk,Wrigley Field
L0021,New York,Park Slope,Entire home,4,2.0,9,324,Heating; Crib; TV; Gym access; Pet friendly; EV charger; Kitchen; Hair dryer,4.14,0,1,3,Jay St-MetroTech,11,Statue of Liberty Ferry,Times Square
L0022,Miami,Brickell,Entire home,1,2.0,3,191,Workspace; Fire extinguisher; Carbon monoxide alarm; EV charger; Hot tub; Iron; Pool; Air conditioning; Gym access; Crib; Dishwasher; Heating; BBQ grill,4.84,1,1,2,Adrienne Arsht Metromover,14,Perez Art Museum,Art Deco Historic District
L0023,Chicago,River North,Entire home,1,1.5,2,169,Air conditioning; TV; Pool; Smoke alarm; Crib,4.59,0,1,1,Belmont L,9,Field Museum,Museum of Science and Industry
L0024,San Francisco,Pacific Heights,Entire home,3,1.5,6,234,Hot tub; EV charger; Coffee maker; Gym access; TV; Heating; Free parking; Patio; Pool; Dryer; Air conditioning; Washer,4.99,0,0,5,Powell St BART,16,Alcatraz Island Ferry,Lombard Street
L0025,Chicago,Lakeview,Entire home,2,1.5,4,219,Smoke alarm; Workspace; Air conditioning; EV charger; Kitchen; Washer,4.92,1,1,2,Fullerton L,19,Wrigley Field,Art Institute of Chicago
L0026,Miami,Coconut Grove,Shared room,1,1.0,2,70,Kitchen; Gym access; Heating; Free parking; Patio; Hot tub; Air conditioning; Dryer; Pool; Dishwasher; EV charger; Pet friendly; Fire extinguisher; WiFi,4.64,0,1,7,South Miami Metrorail,12,Everglades Day Trip,Jungle Island
L0027,Chicago,River North,Entire home,1,1.0,2,202,TV; Gym access; EV charger; Pet friendly; Fire extinguisher; Heating; Crib,4.98,0,0,1,Jackson L,16,Wrigley Field,Field Museum
L0028,Chicago,Old Town,Entire home,5,2.0,11,346,Workspace; Coffee maker; Patio; Fire extinguisher; Hot tub; Dryer; Carbon monoxide alarm,4.52,0,1,1,Merchandise Mart L,24,Chicago Riverwalk,Museum of Science and Industry
L0029,Miami,Edgewater,Entire home,2,1.5,5,225,BBQ grill; Dishwasher; Fire extinguisher; Carbon monoxide alarm; Kitchen,4.91,1,1,1,Vizcaya Metrorail,13,Everglades Day Trip,Jungle Island
L0030,Chicago,River North,Entire home,1,2.0,3,113,Fire extinguisher; Heating; Patio; Washer; Workspace; TV,4.88,1,1,5,Western L (Blue),16,Magnificent Mile,Lincoln Park Zoo
L0031,San Francisco,Nob Hill,Entire home,4,2.0,8,291,Washer; Fire extinguisher; Dishwasher; Workspace; Hair dryer; Iron; BBQ grill; Smoke alarm; Crib; Patio; Dryer; Heating,4.64,0,1,2,Embarcadero BART,14,Chinatown,Palace of Fine Arts
L0032,New York,Williamsburg,Shared room,1,1.0,2,143,Heating; Coffee maker; Fire extinguisher; WiFi; Washer; Carbon monoxide alarm; Gym access; Air conditioning; Workspace; Smoke alarm; Dishwasher; Dryer,4.86,0,0,3,Lexington Ave/59th St,16,Times Square,Museum of Modern Art
L0033,Boston,Fenway-Kenmore,Private room,1,2.0,1,150,Fire extinguisher; Dryer; TV; WiFi; Kitchen; Iron,4.21,0,0,3,Park Street,9,Harvard Yard,Museum of Fine Arts
L0034,Miami,Midtown,Entire home,1,3.0,2,216,Fire extinguisher; Hot tub; BBQ grill; WiFi; Pet friendly; TV; Dishwasher; Dryer; Air conditioning,4.17,0,1,5,Dadeland South Metrorail,24,Everglades Day Trip,Little Havana Walk
L0035,New York,Harlem,Entire home,2,2.0,5,245,EV charger; BBQ grill; Pet friendly; Kitchen; Gym access,4.92,0,1,3,Canal St,20,High Line,Empire State Building
L0036,New York,Astoria,Entire home,1,1.5,2,181,Iron; Carbon monoxide alarm; Dryer; Free parking; Washer; Dishwasher; Hair dryer; Coffee maker; Hot tub,4.14,0,1,5,Union Square,8,Rockefeller Center,High Line
L0037,Miami,Edgewater,Entire home,1,1.5,3,158,EV charger; Smoke alarm; Patio; Hair dryer; Heating; Pool; Workspace; WiFi; Iron,4.83,1,1,1,Adrienne Arsht Metromover,8,Wynwood Walls,Key Biscayne Beach
L0038,Boston,Charlestown,Private room,1,1.0,2,126,Carbon monoxide alarm; EV charger; Washer; Pet friendly; Heating; Workspace; Patio; Hot tub; Kitchen; Hair dryer; Dryer; Gym access; Pool,4.15,0,1,1,Copley,24,Harvard Yard,Freedom Trail
L0039,New York,SoHo,Entire home,3,2.0,6,214,Free parking; Air conditioning; Dishwasher; Pet friendly; EV charger; Patio; Pool; Iron; Washer; Smoke alarm; TV; WiFi; Workspace; Crib,4.5,0,1,1,Union Square,13,Brooklyn Bridge,Times Square
L0040,San Francisco,Mission District,Private room,1,2.0,2,203,Workspace; Fire extinguisher; Hair dryer; Coffee maker; EV charger; Heating,4.86,1,1,5,Balboa Park BART,13,Ferry Building,Golden Gate Bridge
L0041,Miami,Wynwood,Entire home,3,1.5,6,273,Patio; EV charger; Dishwasher; Iron; Smoke alarm; Coffee maker; TV; Fire extinguisher; Carbon monoxide alarm; Kitchen; Gym access; Hair dryer; Crib; Pet friendly,4.57,0,0,2,Wynwood Trolley Stop,16,Bayside Marketplace,Jungle Island
L0042,San Francisco,SOMA,Entire home,5,2.0,11,317,Air conditioning; Carbon monoxide alarm; Heating; Hair dryer; Washer; Dishwasher,4.93,0,0,7,Powell St BART,14,Oracle Park,Ferry Building
L0043,Chicago,Lakeview,Entire home,1,2.0,2,192,Hair dryer; Heating; Hot tub; EV charger; Pool; Carbon monoxide alarm; Dishwasher; WiFi; BBQ grill; Coffee maker; Air conditioning; Washer; Pet friendly,4.81,0,0,3,Jackson L,23,Museum of Science and Industry,Millennium Park
L0044,Boston,Allston,Entire home,2,1.0,5,262,Gym access; Air conditioning; Kitchen; Washer; Dryer; BBQ grill; Crib; Hot tub; Fire extinguisher; Iron; Free parking; Pool; TV; Smoke alarm,4.64,0,1,1,North Station,9,Boston Public Garden,Freedom Trail
L0045,Miami,Midtown,Entire home,1,1.5,2,210,WiFi; Workspace; Carbon monoxide alarm; Dryer; Washer; Smoke alarm,3.75,0,0,2,Wynwood Trolley Stop,16,Key Biscayne Beach,Everglades Day Trip
L0046,New York,Upper West Side,Shared room,1,1.0,2,71,TV; Heating; Smoke alarm; WiFi; Iron; Dryer; Fire extinguisher; Hair dryer; Air conditioning; Free parking; Carbon monoxide alarm,4.56,0,1,1,Grand Central,8,Chelsea Market,Museum of Modern Art
L0047,New York,Lower East Side,Shared room,1,1.0,1,77,Pool; Heating; Washer; Hot tub; Free parking; Dryer; BBQ grill,4.98,0,1,5,Grand Central,7,Rockefeller Center,Broadway Theater District
L0048,San Francisco,Haight-Ashbury,Entire home,1,1.5,3,258,Kitchen; Hair dryer; Coffee maker; Air conditioning; TV; Fire extinguisher; EV charger; Pet friendly; BBQ grill; Dryer; Carbon monoxide alarm; Washer; Workspace; Iron,4.66,0,1,2,16th St Mission BART,14,Oracle Park,Pier 39
L0049,Miami,Edgewater,Private room,1,1.0,2,130,Coffee maker; Patio; Dryer; Kitchen; Pool; Fire extinguisher,4.95,1,1,1,Dadeland South Metrorail,13,Everglades Day Trip,Vizcaya Museum
L0050,New York,Lower East Side,Entire home,2,1.0,4,233,BBQ grill; Washer; Hair dryer; TV; Smoke alarm; Crib; Air conditioning; Patio; Gym access; Iron; Workspace; Dryer; Dishwasher; Fire extinguisher,4.84,1,1,7,Jay St-MetroTech,5,Museum of Modern Art,Chelsea Market
L0051,Boston,Beacon Hill,Entire home,3,1.0,6,319,Smoke alarm; Washer; Dryer; BBQ grill; Gym access; Patio; Fire extinguisher; Kitchen; Carbon monoxide alarm; EV charger; Iron; Hair dryer; Heating; Pool,4.89,1,1,2,Haymarket,9,Museum of Fine Arts,Faneuil Hall
L0052,San Francisco,Nob Hill,Shared room,1,1.0,2,75,Gym access; Washer; Hot tub; Kitchen; Workspace; Hair dryer; Dishwasher; Heating,4.68,0,1,5,Castro Muni,20,Golden Gate Park,Fisherman's Wharf
L0053,San Francisco,Mission District,Entire home,1,2.0,2,225,Heating; Crib; Patio; Iron; Washer; Gym access; Kitchen; TV; Workspace; Hair dryer,4.36,0,1,1,Civic Center BART,17,Palace of Fine Arts,Oracle Park
L0054,San Francisco,Pacific Heights,Entire home,1,1.0,3,207,Gym access; Dishwasher; WiFi; Patio; Coffee maker; EV charger; Pool; Washer; TV; Free parking; BBQ grill; Workspace,4.69,0,0,2,24th St Mission BART,8,Pier 39,Alcatraz Island Ferry
L0055,Miami,South Beach,Entire home,2,1.5,4,251,EV charger; Iron; Washer; Kitchen; Hair dryer; Dishwasher,4.83,0,0,1,Douglas Road Metrorail,19,Vizcaya Museum,Key Biscayne Beach
L0056,New York,Harlem,Entire home,2,1.5,5,298,Workspace; Hot tub; Kitchen; Patio; Free parking; TV; Hair dryer; BBQ grill; Iron; Washer; Coffee maker; Smoke alarm; Dryer,4.87,1,0,3,Columbus Circle,22,Rockefeller Center,Museum of Modern Art
L0057,New York,Chelsea,Shared room,1,1.0,1,90,TV; Fire extinguisher; Gym access; Carbon monoxide alarm; Dryer; Crib; Hair dryer; EV charger; Kitchen,4.51,0,1,7,14th St-Union Sq,14,Museum of Modern Art,High Line
L0058,Boston,Seaport,Entire home,3,1.0,6,262,Hair dryer; Smoke alarm; EV charger; Kitchen; Gym access; Washer; Fire extinguisher; Pet friendly; Coffee maker; Pool,4.82,1,1,7,Harvard,14,Boston Public Garden,Harvard Yard
L0059,New York,Astoria,Entire home,3,1.0,7,337,Air conditioning; Fire extinguisher; Dryer; Crib; Pet friendly; Iron; Hair dryer,4.93,1,0,7,Grand Central,13,High Line,Statue of Liberty Ferry
L0060,Boston,Cambridge,Entire home,1,2.0,3,193,Washer; Gym access; Air conditioning; BBQ grill; TV; Smoke alarm; Workspace; Coffee maker; Carbon monoxide alarm; EV charger; Free parking; Crib; Kitchen,4.97,1,1,2,Kenmore,25,Freedom Trail,Boston Public Garden
L0061,New York,East Village,Shared room,1,1.0,1,124,Hair dryer; Coffee maker; TV; Air conditioning; Hot tub; Free parking; Dishwasher; Gym access,4.26,0,1,5,Union Square,15,Chelsea Market,Broadway Theater District
L0062,Chicago,Lincoln Park,Entire home,1,3.0,3,249,Carbon monoxide alarm; Gym access; Patio; WiFi; Workspace; Dishwasher; TV; EV charger; Crib; Heating; Smoke alarm; Pet friendly; Iron; Free parking,4.54,0,1,3,Jackson L,12,Millennium Park,Willis Tower Skydeck
L0063,San Francisco,Nob Hill,Private room,1,1.0,1,96,Washer; Heating; Kitchen; TV; Smoke alarm; Carbon monoxide alarm; Pool; Dryer,4.6,0,0,1,24th St Mission BART,23,Lombard Street,Chinatown
L0064,Miami,Edgewater,Entire home,5,1.0,11,297,Workspace; Gym access; Patio; Pet friendly; TV; Dishwasher; WiFi; Heating; Carbon monoxide alarm,4.84,1,1,3,Coconut Grove Metrorail,22,Art Deco Historic District,Jungle Island
L0065,San Francisco,North Beach,Entire home,3,1.0,6,288,Washer; Free parking; Gym access; Coffee maker; Smoke alarm; Patio; Kitchen; Dishwasher; EV charger; Air conditioning,4.53,0,1,7,24th St Mission BART,19,Oracle Park,Palace of Fine Arts
L0066,San Francisco,North Beach,Entire home,2,2.0,5,236,Workspace; WiFi; Hair dryer; Iron; Heating; Carbon monoxide alarm; TV; Crib; Pet friendly,4.93,0,1,5,Montgomery St BART,24,Ferry Building,Chinatown
L0067,Boston,Back Bay,Shared room,1,1.0,1,48,Crib; Free parking; Carbon monoxide alarm; Coffee maker; Gym access; Workspace; Kitchen; Washer; Pet friendly; Hot tub; Dryer,4.94,0,1,3,Copley,13,Harvard Yard,Boston Common
L0068,Boston,Cambridge,Entire home,2,1.0,5,262,Crib; Pet friendly; Workspace; Iron; BBQ grill; Hair dryer; Dishwasher; Hot tub,4.16,0,0,1,Downtown Crossing,6,Boston Public Garden,New England Aquarium
L0069,New York,Upper West Side,Entire home,3,2.0,6,205,Washer; Heating; Gym access; EV charger; Pool; BBQ grill; Kitchen; Coffee maker; Patio,4.8,0,1,3,Penn Station,3,Museum of Modern Art,Statue of Liberty Ferry
L0070,Miami,Downtown Miami,Entire home,1,3.0,3,176,Air conditioning; Patio; EV charger; Pool; Dishwasher,4.68,0,1,1,Government Center Metrorail,23,Vizcaya Museum,Jungle Island
L0071,San Francisco,Mission District,Entire home,2,2.0,5,274,Washer; Coffee maker; Fire extinguisher; Hot tub; Free parking; Heating; Iron; Dryer; BBQ grill; Dishwasher; Pet friendly; Hair dryer,4.97,0,1,1,Civic Center BART,2,Lombard Street,Golden Gate Park
L0072,New York,Williamsburg,Private room,1,1.0,2,140,Hot tub; Smoke alarm; Pool; Fire extinguisher; Iron,4.55,0,1,2,Atlantic Ave-Barclays,14,Chelsea Market,Central Park
L0073,Chicago,Lakeview,Entire home,1,3.0,3,194,Washer; Fire extinguisher; Gym access; Hair dryer; Carbon monoxide alarm; Dishwasher; Workspace; Free parking; Pool; Iron; Smoke alarm; TV,4.51,0,1,1,Chicago L (Red),13,Lincoln Park Zoo,Museum of Science and Industry
L0074,Chicago,Gold Coast,Entire home,3,2.0,7,302,Fire extinguisher; Kitchen; Pet friendly; Washer; Coffee maker; Carbon monoxide alarm; BBQ grill; Crib; Dishwasher; Iron; Smoke alarm; Patio; Hair dryer,4.81,0,0,7,Clark/Lake L,11,Millennium Park,Wrigley Field
L0075,Miami,South Beach,Entire home,2,2.0,5,257,Smoke alarm; Air conditioning; BBQ grill; Dishwasher; Washer; Hair dryer; Heating; Dryer; Pet friendly; Hot tub; Crib,4.58,0,1,2,Vizcaya Metrorail,20,South Beach,Art Deco Historic District
L0076,San Francisco,Pacific Heights,Entire home,3,1.0,7,279,Pool; Free parking; Air conditioning; Heating; Gym access,4.84,1,1,1,Powell St BART,12,Golden Gate Bridge,Golden Gate Park
L0077,Chicago,Hyde Park,Shared room,1,1.0,2,137,Pool; Carbon monoxide alarm; TV; Hot tub; Kitchen; Dishwasher; Dryer; Crib; Workspace; WiFi; EV charger; Iron; Smoke alarm,4.54,0,1,2,Addison L,18,Museum of Science and Industry,Chicago Riverwalk
L0078,Boston,Jamaica Plain,Entire home,2,3.0,4,166,Free parking; Iron; Patio; Air conditioning; Fire extinguisher; Hair dryer; BBQ grill; Pet friendly; Kitchen,4.94,1,1,2,Downtown Crossing,10,Newbury Street,Fenway Park
L0079,New York,Harlem,Private room,1,2.0,1,139,Crib; Free parking; Smoke alarm; Pool; Dishwasher; Iron; TV; BBQ grill; Fire extinguisher; Hot tub; EV charger; Dryer; Washer; Hair dryer,4.97,1,1,1,14th St-Union Sq,13,Rockefeller Center,Broadway Theater District
L0080,Boston,South End,Entire home,2,3.0,5,156,Iron; Pool; Smoke alarm; EV charger; Crib; Workspace; Dishwasher; Pet friendly,4.57,0,1,7,Downtown Crossing,17,Museum of Fine Arts,Boston Public Garden
L0081,Chicago,Lincoln Park,Shared room,1,1.0,1,143,WiFi; Carbon monoxide alarm; Washer; Patio; Pool,4.93,1,1,1,Chicago L (Red),16,Millennium Park,Wrigley Field
L0082,Chicago,Pilsen,Entire home,1,2.0,3,211,WiFi; Coffee maker; BBQ grill; Carbon monoxide alarm; Dryer; Heating; EV charger; Crib; Washer,4.58,0,1,7,Belmont L,7,Lincoln Park Zoo,Wrigley Field
L0083,Boston,Fenway-Kenmore,Entire home,3,1.0,6,210,Patio; WiFi; Crib; Dryer; Air conditioning,4.98,1,1,1,Copley,20,Harvard Yard,Freedom Trail
L0084,New York,Astoria,Shared room,1,1.0,1,110,WiFi; Free parking; EV charger; Washer; Smoke alarm; Air conditioning; TV; Dryer; Pool; Dishwasher,4.3,0,1,1,Columbus Circle,16,Broadway Theater District,Statue of Liberty Ferry
L0085,Miami,Little Havana,Entire home,2,2.0,5,248,Workspace; Pool; Hair dryer; Dishwasher; Smoke alarm; Carbon monoxide alarm; Dryer; Gym access; Air conditioning; Coffee maker; TV; Washer,4.63,0,0,1,Vizcaya Metrorail,16,Wynwood Walls,Art Deco Historic District
L0086,San Francisco,Sunset District,Entire home,3,1.0,6,299,Dishwasher; Pet friendly; Coffee maker; Carbon monoxide alarm; Heating; WiFi; Air conditioning; Hair dryer; Crib; TV; Fire extinguisher; Smoke alarm,4.91,1,1,3,24th St Mission BART,21,Golden Gate Bridge,Lombard Street
L0087,Boston,South End,Entire home,2,1.5,4,210,Hair dryer; Hot tub; Pool; Patio; Workspace; Free parking,4.62,0,1,2,Copley,5,MIT Campus,Fenway Park
L0088,Chicago,Loop,Entire home,2,3.0,4,248,Smoke alarm; Iron; TV; Patio; Workspace; EV charger; Pool,4.91,1,1,7,Roosevelt L,10,Magnificent Mile,Museum of Science and Industry
L0089,Boston,Jamaica Plain,Entire home,3,1.0,7,306,BBQ grill; Washer; Carbon monoxide alarm; Smoke alarm; Air conditioning; Fire extinguisher; Workspace; Patio; Pet friendly,4.85,1,0,2,Charles/MGH,3,Harvard Yard,Newbury Street
L0090,Miami,Design District,Entire home,1,1.0,2,219,Dishwasher; EV charger; Crib; Pool; Fire extinguisher; Hair dryer; Smoke alarm; Gym access; Washer; Dryer; WiFi; Patio; Kitchen,4.87,1,1,2,Civic Center Metrorail,11,Wynwood Walls,Vizcaya Museum
L0091,Miami,Downtown Miami,Entire home,1,1.0,2,177,Pet friendly; Pool; Coffee maker; Dryer; Dishwasher; Patio; Iron,4.54,0,1,2,Wynwood Trolley Stop,11,Jungle Island,Bayside Marketplace
L0092,Miami,Coral Gables,Entire home,3,1.0,6,299,Dryer; Hair dryer; Iron; Free parking; Fire extinguisher; Heating; Hot tub; Workspace; BBQ grill; TV; Patio; Gym access; Carbon monoxide alarm,4.86,1,1,2,Adrienne Arsht Metromover,5,Art Deco Historic District,Key Biscayne Beach
L0093,Boston,Fenway-Kenmore,Entire home,1,2.0,3,211,Workspace; Patio; Dishwasher; Crib; Dryer; BBQ grill; Gym access,4.67,0,1,5,Copley,9,Boston Common,New England Aquarium
L0094,Chicago,Pilsen,Entire home,2,2.0,5,260,Workspace; Dryer; Air conditioning; EV charger; WiFi; Pool; TV; Kitchen; Hot tub; Heating; Pet friendly; Washer,4.96,1,0,3,Fullerton L,18,Field Museum,Chicago Riverwalk
L0095,Miami,Edgewater,Private room,1,1.0,1,114,Fire extinguisher; Hot tub; Hair dryer; Air conditioning; Heating,4.92,0,0,2,Vizcaya Metrorail,8,Everglades Day Trip,Art Deco Historic District
L0096,Chicago,Lakeview,Shared room,1,1.0,1,59,TV; EV charger; Hot tub; Coffee maker; Heating; Washer; Carbon monoxide alarm; Kitchen; BBQ grill,4.55,0,1,2,Fullerton L,16,Navy Pier,Wrigley Field
L0097,San Francisco,Nob Hill,Entire home,2,2.0,4,244,Fire extinguisher; Workspace; Iron; EV charger; WiFi; Air conditioning; Pet friendly; Hair dryer; Patio; Smoke alarm,4.13,0,1,3,Castro Muni,11,Pier 39,Chinatown
L0098,New York,Midtown Manhattan,Entire home,3,2.5,6,219,Fire extinguisher; Pet friendly; WiFi; Carbon monoxide alarm; Free parking; Washer; TV,4.1,0,1,3,Union Square,21,High Line,Times Square
L0099,Boston,Allston,Entire home,1,1.0,2,208,WiFi; Pet friendly; Iron; Heating; Carbon monoxide alarm; Washer; Workspace; Air conditioning; Pool; Free parking; Kitchen; Hair dryer,4.83,1,0,3,Harvard,5,Harvard Yard,MIT Campus
L0100,Boston,Jamaica Plain,Entire home,3,2.0,6,328,BBQ grill; Fire extinguisher; Free parking; Air conditioning; Heating; Washer; Gym access; Smoke alarm; Hair dryer; Pet friendly; Dryer; Coffee maker; Patio; Dishwasher,3.54,0,1,1,Downtown Crossing,15,Faneuil Hall,Newbury Street
L0101,Chicago,Pilsen,Private room,1,2.0,2,166,Workspace; Smoke alarm; Heating; Pool; Pet friendly; Air conditioning; Coffee maker; WiFi,4.94,0,0,1,Roosevelt L,23,Navy Pier,Chicago Riverwalk
L0102,New York,Midtown Manhattan,Entire home,1,3.0,3,241,Carbon monoxide alarm; Pet friendly; Smoke alarm; Air conditioning; Dishwasher; Gym access; Washer; Hot tub; Patio; EV charger; Kitchen; Coffee maker; Heating,4.69,0,1,1,Union Square,13,Museum of Modern Art,Times Square
L0103,Chicago,Old Town,Entire home,2,2.0,4,189,Workspace; Hair dryer; Coffee maker; BBQ grill; Hot tub; Dryer; Crib,4.01,0,0,2,Fullerton L,17,Wrigley Field,Art Institute of Chicago
L0104,Chicago,Hyde Park,Entire home,2,2.0,5,159,EV charger; BBQ grill; Heating; Pool; Coffee maker; WiFi,4.84,1,1,1,Clark/Lake L,21,Millennium Park,Wrigley Field
L0105,Boston,Allston,Entire home,2,2.5,5,207,Coffee maker; Kitchen; Smoke alarm; Air conditioning; Fire extinguisher; TV; EV charger; Iron,4.56,0,1,7,Harvard,13,Fenway Park,New England Aquarium
L0106,Boston,Charlestown,Private room,1,1.0,1,121,Pool; Dishwasher; Hair dryer; Patio; Crib,4.52,0,1,7,Park Street,24,Fenway Park,Museum of Fine Arts
L0107,Boston,Fenway-Kenmore,Entire home,1,1.0,3,144,EV charger; Heating; Coffee maker; Washer; Smoke alarm; Air conditioning,4.96,0,1,2,Haymarket,14,New England Aquarium,Boston Common
L0108,Boston,Beacon Hill,Private room,1,1.0,1,165,Fire extinguisher; Pet friendly; Iron; Carbon monoxide alarm; Heating; Dishwasher; Hair dryer,4.86,0,1,5,South Station,12,Museum of Fine Arts,MIT Campus
L0109,San Francisco,Haight-Ashbury,Entire home,3,3.0,7,280,WiFi; Smoke alarm; Fire extinguisher; Dishwasher; Patio; Pool; Heating,4.83,1,0,2,Balboa Park BART,5,Alcatraz Island Ferry,Fisherman's Wharf
L0110,San Francisco,Castro,Entire home,5,1.0,11,395,Iron; Heating; Kitchen; Fire extinguisher; BBQ grill; Dryer,4.27,0,1,2,Van Ness Muni,11,Pier 39,Oracle Park
L0111,Boston,Back Bay,Shared room,1,1.0,1,40,Kitchen; Air conditioning; Hot tub; Smoke alarm; Washer; Carbon monoxide alarm; Free parking; Coffee maker; Pool; Iron; Patio; BBQ grill,4.68,0,1,1,Park Street,25,Harvard Yard,Boston Public Garden
L0112,Chicago,River North,Entire home,4,2.0,8,342,Coffee maker; Hair dryer; EV charger; Pool; Dryer; Heating; Patio; Dishwasher; Hot tub; Workspace; Carbon monoxide alarm; Smoke alarm,4.84,0,1,7,Clark/Lake L,17,Willis Tower Skydeck,Chicago Riverwalk
